New York,,,,,,,,,,,,
"Number of beneficiaries with benefits in current-payment status and total monthly benefits, by field office and ZIP Code, December 2015",,,,,,,,,,,,
Field office and ZIP Code,,,Number,,,,,,"Total monthly benefits
(thousands of dollars)",,,Number of OASDI beneficiaries aged 65 or older
,,,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,
All areas a,,,"59,963,425","40,089,061","8,909,430","4,190,676","2,477,567","4,296,691","73,642,029","53,790,278","5,194,659","43,243,199"
,11223,,"10,960","7,180","1,505",850,845,580,"11,597","8,111","1,008","8,240"
,11224,,"9,975","6,685","1,590",595,480,625,"9,857","7,079",637,"7,400"
,11229,,"12,885","9,065","1,620",845,710,645,"15,247","11,343","1,064","9,925"
,11235,,"13,790","10,180","1,550",780,745,535,"15,635","12,226",925,"11,155"
Buffalo,,,"108,520","69,925","18,335","8,005","3,670","8,585","138,299","99,446","10,549","75,815"
,14001,,"2,415","1,695",345,185,85,105,"3,126","2,330",250,"1,825"
,14031,,"2,415","1,850",175,200,100,90,"3,360","2,677",282,"2,035"
,14032,,"1,375","1,045",115,95,45,75,"1,988","1,591",140,"1,115"
,14051,,"4,030","3,115",270,240,215,190,"6,149","5,036",371,"3,335"
,14068,,"1,935","1,255",155,155,90,280,"2,686","1,962",239,"1,455"
,14072,,"4,420","3,265",450,315,180,210,"6,379","5,006",451,"3,460"
,14086,,"6,725","4,805",815,495,255,355,"9,172","6,950",694,"5,085"
,14150,,"10,625","7,280","1,515",875,405,550,"13,867","10,201","1,195","7,895"
,14151,,50,30,10,5,0,5,61,40,6,30
,14201,,"1,875",940,560,145,55,175,"1,818","1,061",125,"1,055"
,14202,,"1,310",595,425,80,25,185,"1,427",824,99,665
,14203,,505,175,175,20,5,130,456,189,26,200
,14204,,"2,045",970,665,140,35,235,"1,989","1,097",141,"1,035"
,14205,,105,60,30,5,0,10,115,79,5,60
,14207,,"3,680","1,625","1,225",285,110,435,"3,745","1,987",332,"1,825"
,14208,,"2,160","1,195",525,160,35,245,"2,293","1,443",169,"1,305"
,14209,,"1,775","1,155",340,150,50,80,"2,182","1,567",173,"1,295"
,14210,,"2,865","1,350",800,265,75,375,"3,055","1,677",307,"1,520"
,14211,,"4,155","1,995","1,260",290,60,550,"4,122","2,331",300,"2,145"
,14213,,"2,910","1,350",855,200,90,415,"2,730","1,502",194,"1,465"
