ID,applyposition,Base,Annual,signing,expected,skillset,location
328,"APPLY NOW   Senior Data Scientist in San Mateo, CA at Osi Systems in Santa Clara, CA","Base Salary$118K","Annual Bonus$0","Signing Bonus$13K","EXPECTED   $118K","You can learn valuable new skills like: Big Data, Machine Learning, Scala, Data Science, Java, Natural Language Processing and more.","Jobs in Santa Clara, CA"
329,"APPLY NOW   Seeking a Senior Data Scientist in San Mateo, CA at Osi Systems in San Mateo, CA","Base Salary$118K","Annual Bonus$0","Signing Bonus$13K","EXPECTED   $118K","You can learn valuable new skills like: Big Data, Machine Learning, Scala, Data Science, Java, Natural Language Processing and more.","Jobs in San Mateo, CA"
330,"APPLY NOW   Principal Data Scientist at Salsify in Boston, MA","Base Salary$118K","Annual Bonus$0","Signing Bonus$9K","EXPECTED   $118K","You can learn valuable new skills like: Machine Learning, Data Science, Analytics, Statistics, and Search.","Jobs in Boston, MA"
331,"APPLY NOW   gU Faculty, Principal Data Scientist at Galvanize in San Francisco, CA","Base Salary$161K","Annual Bonus$0","Signing Bonus$16K","EXPECTED   $161K","You can learn valuable new skills like: Data Science.","Jobs in San Francisco, CA"
332,"APPLY NOW   Principal Data Scientist at Capital One in New York, NY","Base Salary$140K","Annual Bonus$17K","Signing Bonus$11K","EXPECTED   $157K","You can learn valuable new skills like: Hadoop, Big Data, Machine Learning, AWS, Relational Databases, Scala and more.","Jobs in New York, NY"
333,"APPLY NOW   Data Science Consultant Lead at Aetna in Wellesley, MA","Base Salary$142K","Annual Bonus$15K","Signing Bonus$0","EXPECTED   $157K","You can learn valuable new skills like: Hadoop, Big Data, Algorithms, and Data Science.","Jobs in Wellesley, MA"
334,"APPLY NOW   Senior Data Scientist at GE in San Ramon, CA","Base Salary$124K","Annual Bonus$16K","Signing Bonus$12K","EXPECTED   $141K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Algorithms, C++ and more.","Jobs in San Ramon, CA"
335,"APPLY NOW   Senior Data Scientist at GE in San Ramon, CA","Base Salary$124K","Annual Bonus$16K","Signing Bonus$12K","EXPECTED   $141K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Algorithms, C++ and more.","Jobs in San Ramon, CA"
336,"APPLY NOW   Data Scientist at Twitch in San Francisco, CA","Base Salary$133K","Annual Bonus$0","Signing Bonus$16K","EXPECTED   $133K","You can learn valuable new skills like: Product Design and Data Science.","Jobs in San Francisco, CA"
337,"APPLY NOW   Area Lead, Research Data Science Facilitation at Harvard University in Cambridge, MA","Base Salary$138K","Annual Bonus$0","Signing Bonus$10K","EXPECTED   $138K","You can learn valuable new skills like: Architectures, Windows, Data Science, Java, Statistics, and Leadership.","Jobs in Cambridge, MA"
338,"APPLY NOW   Senior Software Engineer, Data Science at AppNexus in New York, NY","Base Salary$112K","Annual Bonus$0","Signing Bonus$13K","EXPECTED   $133K","You can learn valuable new skills like: Hadoop, Optimization, Algorithms, Machine Learning, C++, Python and more.","Jobs in New York, NY"
339,"APPLY NOW   Data Analyst/Data Scientist at Luxoft in Kirkland, WA","Base Salary$95K","Annual Bonus$19K","Signing Bonus$17K","EXPECTED   $115K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, MapReduce, AWS, Management and more.","Jobs in Kirkland, WA"
340,"APPLY NOW   Principal Data Scientist (Data Analytics) - Philippines at HGST in Laguna, CA","Base Salary$117K","Annual Bonus$0","Signing Bonus$6K","EXPECTED   $117K","You can learn valuable new skills like: Hadoop, Big Data, Machine Learning, Matlab, Data Science, Analytics and more.","Jobs in Laguna, CA"
341,"APPLY NOW   Chief Engineer / Data Scientist at Booz Allen Hamilton in McLean, VA","Base Salary$169K","Annual Bonus$18K","Signing Bonus$10K","EXPECTED   $188K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, Algorithms, PHP, Architectures and more.","Jobs in McLean, VA"
342,"APPLY NOW   Chief Engineer / Data Scientist at Booz Allen Hamilton in McLean, VA","Base Salary$169K","Annual Bonus$18K","Signing Bonus$10K","EXPECTED   $188K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, Algorithms, PHP, Architectures and more.","Jobs in McLean, VA"
343,"APPLY NOW   Head of Data Science at Tubular Labs in Mountain View, CA","Base Salary$165K","Annual Bonus$0","Signing Bonus$11K","EXPECTED   $165K","You can learn valuable new skills like: Hadoop, Machine Learning, C++, Data Science, Analytics, Strategy and more.","Jobs in Mountain View, CA"
